tmdb_id,title,year,native_4k,mastering,hdr,dolby_vision,audio,tmdb_rating,cn_title,genre,date_added,has_local,emby_url
568,Apollo 13,1995,1,Native 4K,HDR10,"DTS:X, 7.1 DTS-HD MA",,7.5,阿波罗13号,,2026-09-11,0,
28,Apocalypse Now,1979,1,Native 4K,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1",8.3,现代启示录,,,0,
897,Aparajito,1956,1,Native 4K,SDR,LPCM Mono,,7.8,大河之歌,,,0,
1072790,Anyone But You,2023,1,Native 4K,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1",6.8,只想爱你,,,0,
8916,Antz,1998,0,Upscaled 4K,HDR10,"DTS:X, 7.1 DTS-HD MA",,6.2,蚁哥正传,,,0,
256,Antoine and Colette,1962,1,Native 4K,HDR10,Dolby Vision,LPCM Mono,7.2,安托万与柯莱特,,,0,
125490,Antiviral,2012,1,Native 4K,HDR10,Dolby Vision,5.1 DTS-HD MA,5.9,病毒抗体,,,0,
5424,Anthropophagous,1980,1,Native 4K,HDR10,2.0 DTS-HD MA,,5.4,食尸人,,,0,
627290,Antebellum,2020,0,Upscaled 4K,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1",6.3,内战前,,,0,
640146,Ant-Man and the Wasp: Quantumania,2023,1,Native 4K,HDR10,"Dolby Atmos, True-HD 7.1",,6.2,蚁人与黄蜂女：量子狂潮,,2025-03-23,0,
363088,Ant-Man and the Wasp,2018,0,Upscaled 4K,HDR10,Dolby Atmos True-HD,,6.9,蚁人2：黄蜂女现身,,2025-03-23,0,
102899,Ant-Man,2015,0,Upscaled 4K,HDR10,"Dolby Atmos, True-HD 7.1",,7.1,蚁人,,2025-03-23,0,
11595,Another 48 Hrs.,1990,1,Native 4K,HDR10,Dolby Vision,Dolby TrueHD 5.1,6.0,48小时闯天关,,,0,
1064213,Anora,2024,1,Native 4K,HDR10,5.1 DTS-HD MA,,7.1,阿诺拉,,,0,
300668,Annihilation,2018,1,Native 4K,HDR10,Dolby Vision,Dolby Atmos True-HD,6.5,湮灭,,2025-03-23,0,
196867,Annie,2014,1,Native 4K,,,,6.2,安妮：纽约奇缘,,,0,
15739,Annie,1982,1,Native 4K,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1",6.5,安妮,,,0,
396422,Annabelle: Creation,2017,0,Upscaled 4K,HDR,,,6.6,安娜贝尔2：诞生,,,0,
250546,Annabelle,2014,0,Upscaled 4K,,,,5.8,安娜贝尔,,,0,
484641,Anna,2019,0,Upscaled 4K,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1",6.7,安娜,,2026-04-12,0,
8469,Animal House,1978,1,Native 4K,HDR10,"DTS:-X, DTS-HD MA",Angels and Demons,7.0,动物屋,,,0,
15916,Angel's Egg,1985,1,Native 4K,HDR10,"Dolby Atmos, True-HD 7.1",,7.7,天使之卵,,,0,
29851,Angel of H.E.A.T.,1983,1,Native 4K,HDR10,Dolby Vision,DTS-HD MA Mono,3.8,"Angel of H.E.A.T. — The Protectors, Book #1",,,0,
635,Angel Heart,1987,1,Native 4K,HDR10,Dolby Vision,5.1 DTS-HD MA,7.1,天使之心,,,0,
423204,Angel Has Fallen,2019,1,Native 4K,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1",6.6,天使陷落,,2025-03-23,0,
1364608,Anemone,2025,1,Native 4K,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1",5.9,银莲花,,,0,
1304367,Andrea Bocelli: The Celebration 30th Anniversary,2024,1,Native 4K,SDR,5.1 DTS-HD MA,,5.8,安德烈·波切利:传奇30载演唱会,,,0,
51992,And Soon the Darkness,1970,1,Native 4K,SDR,2.0 DTS-HD MA,,6.5,黑暗将至,,,0,
8699,Anchorman: The Legend of Ron Burgundy,2004,1,Native 4K,HDR10,Dolby Vision,5.1 DTS-HD MA,6.7,王牌播音员,,,0,
93,Anatomy of a Murder,1959,1,Native 4K,HDR10,"Dolby Atmos, True-HD 7.1",,7.8,桃色血案,,,0,
1234731,Anaconda,2025,1,Native 4K,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1",5.8,新狂蟒之灾,,,0,
18174,An Inspector Calls,1954,1,Native 4K,HDR10+,Dolby Vision,LPCM 2.0 Mono,7.2,探长来访,,,0,
814,An American Werewolf in London,1981,1,Native 4K,HDR10,Dolby Vision,5.1 DTS-HD-MA,7.4,美国狼人在伦敦,,,0,
664469,Amsterdam,2022,1,Native 4K,HDR10,"Dolby Atmos, True-HD 7.1",,6.1,阿姆斯特丹,,,0,
673309,American Underdog,2021,1,Native 4K,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1",7.1,美国草根：库尔特·华纳的故事,,,0,
190859,American Sniper,2014,0,Upscaled 4K,HDR10,"Dolby Atmos, True-HD 7.1",,7.4,美国狙击手,,2025-03-23,0,
